No.,チャンネル名,所属,登録者数,最終投稿日,ゲーム動画率,日本語率,主なジャンル,自動判定,あなたの判定,チャンネルURL,直近タイトル例
1,Ado,,9520000,2026-08-25,0.5,0.9,パズル,残す,,https://www.youtube.com/channel/UCln9P4Qm3-EAY4aiEPmRwEA,"【Ado】Fairytale,歌いました"
2,Smosh Games,,8600000,2026-08-26,0.25,0.0,シューター,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,Stay In Line | Board AF: Mind The Lines
3,東海オンエア,実況グループ,7260000,2026-08-29,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCutJqz56653xV2wwSvut_hQ,【虫など】ハブ酒以外のゲテモノ酒、飲んだだけで当てれるのでは！？
4,HikakinGames,実況者,6690000,2026-08-16,0.6,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCX1xppLvuj03ubLio8jslyA,🔴【マイクラ】ヒカキン & セイキンでハードコア第２回_vol2【兄貴を守るマインクラフト】
5,キヨ。,実況者,5750000,2026-08-26,0.55,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCMJiPpN_09F0aWpQrgbc_qg,今話題の「八尺様」と夏休みを過ごすホラーゲーム『 八尺様がいた夏休み 』
6,Marine Ch. 宝鐘マリン,ホロライブ,4420000,2026-08-26,0.25,1.0,,残す,,https://www.youtube.com/channel/UCCzUftO8KOVkV4wQG1vkUvg,【#ホロ甲2026】愛知の強豪選手をリセマラで引き当てろ！！AHOY高校初回配信！【ホロライブ/宝鐘マリン】
7,スカイピース,実況グループ,4330000,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw,最近独り身になったテオくんを深夜に遊びに誘ってみた
8,CaRtOoNz,,4050000,2026-08-28,0.42,0.0,RPG,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCdQWs2nw6w77Rw0t-37a4OA,THESE MINI GAMES WERE BRUTAL!!! | Twisted Party (w/ H2O Deli
9,水溜りボンド,実況グループ,4030000,2026-08-15,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCpOjLndjOqMoffA-fr8cbKA,"【時間無制限】串揚げもお寿司もスイーツも食べ放題（￥3,959）で大食いしたら絶品すぎたww【くし葉】"
10,مـلـزلـز MLZLZ,,3910000,2026-08-27,0.68,0.0,アドベンチャー,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCneq-pXhApziFpje2tIfofw,Resonance A Plague Tale Legacy | رسمياً وصلت اجمل قصة تختيم 
11,ポッキー,,3780000,2026-08-26,0.65,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCzXjPL7zo0bxhOYDxLJ9YEg,この村、恐怖の「掟」が多すぎて何かがおかしい。【ほの暮しの庭】
12,まいぜんシスターズ,実況グループ,3260000,2026-08-25,0.3,1.0,,残す,,https://www.youtube.com/channel/UCM3yhFc0-fBFuvqx1Vg2YNQ,クジラに乗ってサバイバル
13,ウォーターチャレンジ,,3230000,2026-08-28,0.7,1.0,,残す,,https://www.youtube.com/channel/UCHazKLThRbMyMFu2bVAKhng,願いを叶えるレアなベリティMODをプレイしたら...【 マイクラ / マインクラフト 】
14,P丸様。,個人勢,3190000,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCLqCmbd6bgcLaBVz3aA-68A,【暴露】P丸様。顔バレの真実を全てお話します。
15,兄者弟者,実況グループ,3160000,2026-08-27,0.75,0.92,シューター,残す,,https://www.youtube.com/channel/UC2GuoutVyegg6PUK88lLpjw,【Escape from Tarkov】スカブ王（姫）の道【弟者】
16,はじめしゃちょー2 (hajime),,3020000,2026-08-27,0.4,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCgXyMl3Y2kRHkK08F_Ct8Pg,新弾「ロケット団の野望」を上限課金パック開封！多分めっちゃ強いです【ポケポケ】
17,狩野英孝【公式チャンネル】EIKO!GO!!,,3000000,2026-08-26,0.4,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCDn8Lqf-x0zD8hmFUg08f6w,料理初心者がピーラーに感動します
18,Suisei Channel,ホロライブ,2910000,2026-08-24,0.17,1.0,,残す,,https://www.youtube.com/channel/UC5CwaMl1eIgY8h02uZw7u8A,"【怪談配信/告知アリ】リスナーから怖い話募集してみた👻ホロメンの""あの事件""の真相も……⁉【星街すいせい / #ほしまち"
19,ドズル社,実況グループ,2860000,2026-08-28,0.8,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UCj4PjeVMnNTHIR5EeoNKPAw,みんなでアイテム15万個集めるまで終われません！【ファーストペンギン/ドズル視点】
20,TenZ,,2820000,2026-08-27,0.25,0.0,シューター,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCckPYr9b_iVucz8ID1Q67sw,WHEN TenZ PRACTICE HIS JETT FOR PRO PLAYS !!!
21,Pekora Ch. 兎田ぺこら,ホロライブ,2790000,2026-08-27,0.44,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UC1DCedRgGHBdm81E1llLhOQ,#2【初見】『ソードアート・オンライン』同時視聴【ホロライブ/兎田ぺこら】
22,フブキCh。白上フブキ,ホロライブ,2670000,2026-08-28,0.79,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCdn5BQ06XqgXoAxIhbqw5Rg,【Moo Who?】 動物声真似でかくれんぼ！？声真似なら任せてください!! #ホロMOO【ホロライブ/白上フブキ】
23,zanny,,2670000,2026-08-24,0.5,0.0,アドベンチャー,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCd9TUql8V7J-Xy1RNgA7MlQ,"For Honor is good now, it's safe to install (I promise)"
24,レトルト,実況者,2630000,2026-08-27,0.55,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCPVr7clenPjpD7WNsSI3UBQ,異常な掟が残る不穏な村で田舎暮らしするホラーゲーム『ほの暮しの庭』#9
25,日常組,追加指定,2590000,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCZFO75r8iYNI2XPmoFEG6ig,【マインクラフト】目まぐるしく変わるメタの中でも最強のキャラで戦いたい【日常組】
26,チョコレートプラネット チャンネル,,2490000,2026-08-22,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCpCesuCH4UxIcy65gSrC0Pw,【生配信】松尾がバイオハザード初体験！#16「松尾はバイオの中に入った」【レクイエム】
27,カラフルピーチ,,2480000,2026-08-28,0.56,1.0,,残す,,https://www.youtube.com/channel/UCh7bThzNArch6TgoHB1HVhA,人がどんどん消えていく団地【マインクラフト】
28,Miko Ch. さくらみこ,ホロライブ,2450000,2026-08-28,0.69,1.0,RPG,残す,,https://www.youtube.com/channel/UC-hM6YJuNYVAmUWxeIr9FeA,【 はいしんよてち！ 】【ホロライブ/さくらみこ】
29,莉犬くん【すとぷり】,,2320000,2026-08-29,0.47,1.0,ポイントクリック,残す,,https://www.youtube.com/channel/UCpcGAVuBSJEFs48MBxhf9eg,【トモコレ最終回】悪意なんていらない【#すとぷり100時間生配信】【莉犬／すとぷり】
30,しぐれうい,個人勢,2290000,2026-08-21,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCt30jJgChL8qeT9VPadidSw,しぐれうい - SHIGURE UI Birthday Live “Wishing Umbrella” 📍K-Arena
31,Korone Ch. 戌神ころね,ホロライブ,2280000,2026-08-28,0.22,0.94,シミュレーション,残す,,https://www.youtube.com/channel/UChAnqc_AY5_I3Px5dig3X1Q,２３３３２３２３２３２３
32,Kuzuha Channel,にじさんじ,2210000,2026-08-27,0.1,0.9,,残す,,https://www.youtube.com/channel/UCSFCh5NL4qXrAy9u-u2lX3g,【スト6】サリバン帝国民【ランク】
33,Aqua Ch. 湊あくあ,ホロライブ,2180000,2024-08-28,0.22,0.94,音ゲー,外す（1年以上更新なし）,,https://www.youtube.com/channel/UC1opHUrw8rvnsadT-iGp7Cg,【#湊あくあ卒業ライブ】あくあ色に染まれ！／MinatoAqua Graduation LIVE
34,Okayu Ch. 猫又おかゆ,ホロライブ,2140000,2026-08-27,0.95,1.0,RPG,残す,,https://www.youtube.com/channel/UCvaTdHTWBGv3MKj3KVqJVCw,【 Moo Who? 】動物の声マネをするかくれんぼ⁉️自分行けます💥【 猫又おかゆ/ホロライブ 】
35,赤髪のとものゲーム実況チャンネル!!,実況者,2140000,2026-08-28,0.77,1.0,シューター,残す,,https://www.youtube.com/channel/UCEIMvzf3R9d3_2A3IAajvHg,28日(金)公開：年を取ると説教臭くなる。 #赤髪のとも #ストリヌ
